date,temp,humidity,wind_speed,cloud_cover,aqi
2024-05-08,33.11666666666667,32.125,10.145833333333334,5.0,227
2024-06-08,33.17916666666667,30.458333333333332,11.200000000000001,51.125,169
2024-07-08,29.016666666666666,76.70833333333333,8.733333333333333,47.375,45
2024-08-08,28.495833333333337,81.33333333333333,7.687499999999997,64.66666666666667,38
2024-09-08,27.845833333333328,83.83333333333333,3.0625,64.25,40
2024-10-08,27.704166666666666,58.0,6.408333333333334,6.291666666666667,107
2024-11-08,24.75,68.79166666666667,6.354166666666668,0.08333333333333333,232
2024-12-08,14.766666666666666,60.958333333333336,14.095833333333333,6.208333333333333,162
2024-01-09,9.654166666666665,86.375,7.279166666666666,23.833333333333332,113
2024-02-09,12.9125,67.5,7.445833333333334,0.0,97
2024-03-09,17.10833333333333,54.166666666666664,10.783333333333331,38.833333333333336,165
